serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
2115,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
2116,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
2117,22,DEC-14,Kolkata,22-29,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,2,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Remained almost unchanged,Will go down,NA,NA
2118,22,DEC-14,Kolkata,22-29,Male,Unemployed,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,2,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2119,22,DEC-14,Kolkata,60 & above,Male,Retired/Pensioner,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,2,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2120,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Remained the same,Will Improve,Somewhat worse off,Will be better off,Decreased,Increase,Decreased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,Same as current year
2121,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,2,Improved,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Decreased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
2122,22,DEC-14,Kolkata,40-59,Male,Employed,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Worsen,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
2123,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Worsen,Will Improve,Somewhat worse off,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,Same as current year
2124,22,DEC-14,Kolkata,40-59,Female,House wife,Rs. 1 lakh or less,1 or 2,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
2125,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Decreased,Decrease,Decreased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,Same as current year
2126,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Decreased,Decrease,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,Same as current year
2127,22,DEC-14,Kolkata,22-29,Female,Employed,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Worsen,Will Worsen,Somewhat worse off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2128,22,DEC-14,Kolkata,22-29,Male,Employed,Rs. 3 - 5 lakhs,5 and more,Graduate & above,6,Worsen,Will Worsen,Somewhat worse off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2129,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat worse off,Will Remain the Same,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
2130,22,DEC-14,Kolkata,60 & above,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,5 and more,Graduate & above,1,Worsen,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,Same as current year
2131,22,DEC-14,Kolkata,30-39,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Somewhat worse off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
2132,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Increased,Increase,Increased,Increase,Remained the same,Will worsen,Gone up,Will go up,More than last year,More than current year
2133,22,DEC-14,Kolkata,60 & above,Male,Unemployed,Rs. 1 lakh or less,5 and more,Below Graduate,2,Worsen,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Remain the same,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
2134,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 3 - 5 lakhs,1 or 2,Graduate & above,2,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2135,22,DEC-14,Kolkata,60 & above,Male,Self employed/Business,Rs. 3 - 5 lakhs,1 or 2,Graduate & above,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
2136,22,DEC-14,Kolkata,60 & above,Male,Unemployed,Rs. 1 - 3 lakhs,5 and more,Graduate & above,2,Worsen,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go down,More than last year,NA
2137,22,DEC-14,Kolkata,40-59,Female,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go down,More than last year,NA
2138,22,DEC-14,Kolkata,30-39,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
2139,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
2140,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Graduate & above,2,Remained the same,Will Improve,Somewhat worse off,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,Same as last year,Same as current year
2141,22,DEC-14,Kolkata,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,Same as last year,Same as current year
2142,22,DEC-14,Kolkata,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
2143,22,DEC-14,Chennai,40-59,Male,Self employed/Business,Rs. 5 lakhs or more,3 or 4,Graduate & above,1,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2144,22,DEC-14,Chennai,40-59,Female,House wife,Rs. 5 lakhs or more,5 and more,Below Graduate,2,Improved,Will Improve,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,Same as current year
2145,22,DEC-14,Chennai,30-39,Female,Self employed/Business,Rs. 1 lakh or less,5 and more,Graduate & above,2,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Increase,Remained the same,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
2146,22,DEC-14,Chennai,40-59,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Graduate & above,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2147,22,DEC-14,Chennai,40-59,Female,Employed,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,Same as last year,Same as current year
2148,22,DEC-14,Chennai,60 & above,Male,Retired/Pensioner,Rs. 1 - 3 lakhs,1 or 2,Graduate & above,2,Worsen,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
2149,22,DEC-14,Chennai,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
2150,22,DEC-14,Chennai,60 & above,Male,Self employed/Business,Rs. 5 lakhs or more,5 and more,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2151,22,DEC-14,Chennai,60 & above,Male,Retired/Pensioner,Rs. 5 lakhs or more,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2152,22,DEC-14,Chennai,22-29,Female,Unemployed,Rs. 1 - 3 lakhs,3 or 4,Graduate & above,1,Improved,Will Improve,Difficult to say,Will be better off,Decreased,Increase,Decreased,Increase,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2153,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
2154,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2155,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2156,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2157,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2158,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2159,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2160,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2161,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2162,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2163,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2164,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2165,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2166,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,2,Remained the same,Will Improve,Somewhat better off,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2167,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Increased,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2168,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Increase,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
2169,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2170,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2171,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2172,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Increase,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2173,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2174,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2175,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2176,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Improved,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2177,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2178,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will go up,NA,More than current year
2179,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2180,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Increase,Improved,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2181,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Worsen,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2182,22,DEC-14,Hyderabad,30-39,Female,Employed,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2183,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2184,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2185,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2186,22,DEC-14,Hyderabad,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Improved,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
2187,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Worsen,Difficult to say,Will Remain the Same,Decreased,Increase,Remained the same,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
2188,22,DEC-14,Hyderabad,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
2189,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
2190,22,DEC-14,Hyderabad,30-39,Female,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Difficult to say,Will Remain the Same,Increased,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2191,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will go up,NA,More than current year
2192,22,DEC-14,Hyderabad,30-39,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Increase,Improved,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2193,22,DEC-14,Hyderabad,30-39,Female,Self employed/Business,Rs. 3 - 5 lakhs,5 and more,Below Graduate,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will go up,NA,More than current year
2194,22,DEC-14,Hyderabad,30-39,Female,Daily Worker,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go down,More than last year,NA
2195,22,DEC-14,Hyderabad,40-59,Male,Retired/Pensioner,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
2196,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Remained almost unchanged,Will go down,NA,NA
2197,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,Same as last year,More than current year
2198,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2199,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,1 or 2,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2200,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Remained the same,Decrease,Improved,Will improve,Remained almost unchanged,Will go down,NA,NA
2201,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Improved,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
2202,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone down,Will go down,NA,NA
2203,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Same as last year,More than current year
2204,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,Same as last year,More than current year
2205,22,DEC-14,Hyderabad,22-29,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Remain the same,Remained the same,Decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
2206,22,DEC-14,Hyderabad,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Remained almost unchanged,Will go down,NA,NA
2207,22,DEC-14,Hyderabad,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
